,FILENAME,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
31,blackassign0032.txt,130,38,0.5476190443594104,0.058111380125177664,2891.0,30.95814597025251,1168.783258388101,2891.0,895,2891,1.867519889311657,48,5.467658249740574
32,blackassign0033.txt,119,38,0.5159235635928435,0.05191798940082077,3024.0,31.514550264550266,1222.20582010582,3024.0,953,3024,1.8422619047619047,48,5.573743386243386
33,blackassign0034.txt,105,35,0.49999999642857146,0.05492349938998686,2549.0,33.150255001961554,1032.8601020007845,2549.0,845,2549,1.876814437034131,51,5.624558650451157
34,blackassign0035.txt,80,23,0.5533980528796306,0.050814010828409466,2027.0,35.96447952639368,825.1857918105575,2027.0,729,2027,1.8801184015786878,37,5.8362111494819935
35,blackassign0036.txt,48,12,0.5999999900000001,0.046838407457581256,1281.0,41.76424668227947,529.1056986729118,1281.0,535,1281,2.0749414519906324,29,6.281811085089774
36,blackassign0037.txt,93,24,0.5897435847030463,0.05823792928908017,2009.0,35.04230960676954,817.6169238427078,2009.0,704,2009,1.8989547038327526,32,5.735191637630662
37,blackassign0038.txt,129,52,0.42541436229052837,0.052342394432521,3458.0,30.740312319259687,1395.496124927704,3458.0,1063,3458,1.8658183921341815,41,5.401966454598034
38,blackassign0039.txt,106,77,0.15846994448923526,0.057801642432785336,3166.0,31.490840176879342,1278.9963360707518,3166.0,997,3166,1.8679722046746683,31,5.538850284270373
39,blackassign0040.txt,95,35,0.46153845798816573,0.05216693416847234,2492.0,36.075441412520064,1011.230176565008,2492.0,899,2492,1.9799357945425362,40,5.890850722311397
40,blackassign0041.txt,91,41,0.3787878759182737,0.052485089442351855,2515.0,33.558648111332005,1019.4234592445328,2515.0,844,2515,1.8771371769383698,36,5.646123260437376
41,blackassign0042.txt,120,35,0.5483870932362123,0.05204835458292534,2978.0,30.89321692411014,1203.5572867696442,2978.0,920,2978,1.8018804566823372,52,5.45265278710544
42,blackassign0043.txt,125,33,0.5822784773273514,0.0551675977461007,2864.0,33.34497206703911,1158.9379888268156,2864.0,955,2864,1.8756983240223464,40,5.609287709497207
43,blackassign0044.txt,76,11,0.7471264281939491,0.0484679665468145,1795.0,38.27298050139276,733.3091922005572,1795.0,687,1795,2.011142061281337,30,6.041782729805014
